,id_accs,active_deals,activity_count,buyer_book,servicing_contract,investor_type,cmbs,consultant,correspondent,foreign,master_servicer,lender_book,loan_sales_book,loan_servicing,num_deals_as_client,num_deals_as_investor,number_of_properties,number_of_related_deals,number_of_related_properties,number_of_won_deals_as_client,investor_type_IsMissing,id_deals_x,accounting_date,best_initial_bid,id_deals.1,closedate,date_closed,deal_type,deal_update_flag,debt_yield,fiscal,fiscalquarter,fiscalyear,platform,property_group,property_type,id,createdbyid,id_props,building_status,building_tax_expenses,id_deals_y,city,class,county,sale_status,portfolio,market,num_buildings,num_floors,num_parking_spaces,occupancy_rate,price_per_sq_ft,price_per_unit,property_type_1,region__c,sale_amount__c,sale_date__c,size_acres,size_sf,size_units,year_built
157,0012A000023XlX9QAK,36,28756,True,False,1,False,False,False,False,False,True,True,False,15,21,155,66,166,15,False,0062A00000moLe1QAE,12/16/2010,89500000.0,0062A00000moLe1QAE,7/22/2010,12/14/2010 0:00,Property Sale,True,,2010 3,3,2010,Investment Sales,Multi-Housing,Apartments,a0A2A00000TzomIUAR,005F0000007WnNDIA0,a0I2A00000XQJyKUAX,Existing,2012 Tax @ $2012.92/Unit; 2010 Est Ops @ $4842.00/Unit,a0I2A00000XQJyKUAX,City-0073,Class A,County-0386,N,False,Market-0245,12.0,4.0,762.0,98.0,4297.01,5747126.44,Multi-Housing,Mid-Atlantic,2500000000.0,8/7/2015,21.01000906,581800.0,435.0,2006.0
158,0012A000023XlX9QAK,36,28756,True,False,1,False,False,False,False,False,True,True,False,15,21,155,66,166,15,False,0062A00000moLlRQAU,10/16/2012,0.0,0062A00000moLlRQAU,6/11/2012,10/12/2012 0:00,Property Sale,True,0.0,2012 2,2,2012,Investment Sales,Multi-Housing,Apartments,a0A2A00000TznyGUAR,005F0000007WnNDIA0,a0I2A00000XQJCjUAP,Existing,2016 Tax @ $2015.24/Unit,a0I2A00000XQJCjUAP,City-0090,Class B,County-0636,N,False,Market-0016,13.0,2.0,,95.0,96.41,68021.98,Multi-Housing,Southwest,12380000.0,10/15/2012,6.53,128410.0,182.0,1986.0
159,0012A000023XlX9QAK,36,28756,True,False,1,False,False,False,False,False,True,True,False,15,21,155,66,166,15,False,0062A00000moLloQAE,5/21/2007,14600000.0,0062A00000moLloQAE,8/8/2006,5/17/2007 0:00,Property Sale,True,,2006 3,3,2006,Investment Sales,Multi-Housing,Apartments,a0A2A00000Tzp0FUAR,005F0000007WnNDIA0,a0I2A00000XQK9vUAH,,,a0I2A00000XQK9vUAH,City-1795,Class B,County-0552,N,True,Market-0225,,3.0,,94.0,70.64,53947.37,Multi-Housing,Midwest,16400000.0,5/17/2007,,232160.0,304.0,1974.0
162,0012A000023XlX9QAK,36,28756,True,False,1,False,False,False,False,False,True,True,False,15,21,155,66,166,15,False,0062A00000moLlQQAU,6/21/2007,26250000.0,0062A00000moLlQQAU,8/8/2006,6/21/2007 0:00,Property Sale,True,0.0,2006 3,3,2006,Investment Sales,Multi-Housing,Apartments,a0A2A00000TznF9UAJ,005F0000007WnNDIA0,a0I2A00000XQIa2UAH,,,a0I2A00000XQIa2UAH,City-1244,Class B,County-0552,N,True,Market-0225,50.0,3.0,,97.0,55.73,64516.13,Multi-Housing,Midwest,24000000.0,6/21/2007,19.47,430628.0,372.0,1967.0
163,0012A000023XlX9QAK,36,28756,True,False,1,False,False,False,False,False,True,True,False,15,21,155,66,166,15,False,0062A00000moLlkQAE,11/30/2010,15000000.0,0062A00000moLlkQAE,6/3/2010,11/30/2010 12:00,Property Sale,True,,2010 2,2,2010,Investment Sales,Multi-Housing,Apartments,a0A2A00000TzpC5UAJ,005F0000007WnNDIA0,a0I2A00000XQKKaUAP,Existing,2015 Tax @ $1333.10/Unit,a0I2A00000XQKKaUAP,City-0649,Class B,County-0624,N,False,Market-0059,32.0,3.0,818.0,76.0,43.98,24086.38,Multi-Housing,Southwest,14500000.0,11/30/2010,17.085,329730.0,602.0,1987.0
164,0012A000023XlX9QAK,36,28756,True,False,1,False,False,False,False,False,True,True,False,15,21,155,66,166,15,False,0062A00000moLmIQAU,10/30/2013,0.0,0062A00000moLmIQAU,6/11/2013,10/30/2013 0:00,Property Sale,True,0.0,2013 2,2,2013,Investment Sales,Multi-Housing,Apartments,a0A2A00000TzmXZUAZ,005F0000007WnNDIA0,a0I2A00000XQHzLUAX,Existing,2016 Tax @ $1395.57/Unit,a0I2A00000XQHzLUAX,City-0488,Class B,County-0185,N,False,Market-0059,20.0,3.0,,98.0,87.61,62500.0,Multi-Housing,Southwest,19000000.0,10/30/2013,10.52011013,216860.0,304.0,1986.0
165,0012A000023XlX9QAK,36,28756,True,False,1,False,False,False,False,False,True,True,False,15,21,155,66,166,15,False,0062A00000moLmhQAE,3/16/2012,19000000.0,0062A00000moLmhQAE,7/5/2011,3/16/2012 0:00,Property Sale,True,0.0,2011 3,3,2011,Investment Sales,Multi-Housing,Apartments,a0A2A00000TzmbeUAB,005F0000007WnNDIA0,a0I2A00000XQI37UAH,Existing,2016 Tax @ $1722.37/Unit; 2013 Ops @ $3787.69/Unit,a0I2A00000XQI37UAH,City-0936,Class B,County-0284,N,False,Market-0106,42.0,2.0,621.0,93.0,90.98,58114.04,Multi-Housing,Southwest,26500000.0,3/25/2014,11.4,291288.0,456.0,1984.0
169,0012A000023XlX9QAK,36,28756,True,False,1,False,False,False,False,False,True,True,False,15,21,155,66,166,15,False,0062A00000moLmmQAE,12/18/2013,0.0,0062A00000moLmmQAE,8/23/2013,12/18/2013 0:00,Property Sale,True,0.0,2013 3,3,2013,Investment Sales,Multi-Housing,Apartments,a0A2A00000Tzn32UAB,005F0000007WnNDIA0,a0I2A00000XQIAGUA5,,,a0I2A00000XQIAGUA5,City-1808,Class A,County-0053,N,True,Market-0204,13.0,3.0,,94.0,129.24,124000.0,Multi-Housing,Southwest,35712000.0,12/18/2013,12.0,276324.0,288.0,2009.0
170,0012A000023XlX9QAK,36,28756,True,False,1,False,False,False,False,False,True,True,False,15,21,155,66,166,15,False,0062A00000moLiYQAU,12/14/2012,19750000.0,0062A00000moLiYQAU,4/2/2012,12/13/2012 0:00,Property Sale,True,0.0,2012 2,2,2012,Investment Sales,Multi-Housing,Apartments,a0A2A00000Tzkw6UAB,005F0000007WnNDIA0,a0I2A00000XQGYqUAP,Existing,2016 Tax @ $2472.64/Unit; 2013 Combined Est Tax/Ops @ $6374.36/Unit,a0I2A00000XQGYqUAP,City-0128,Class A,County-0284,N,False,Market-0106,13.0,3.0,360.0,97.0,114.39,96507.35,Multi-Housing,Southwest,26250000.0,5/10/2017,13.0,229484.0,272.0,1999.0
174,0012A000023XlX9QAK,36,28756,True,False,1,False,False,False,False,False,True,True,False,15,21,155,66,166,15,False,0062A00000moLiXQAU,12/20/2013,0.0,0062A00000moLiXQAU,11/8/2013,12/20/2013 0:00,Property Sale,True,0.0,2013 4,4,2013,Investment Sales,Multi-Housing,Apartments,a0A2A00000TzklrUAB,005F0000007WnNDIA0,a0I2A00000XQGPWUA5,Existing,2016 Tax @ $2402.33/Unit,a0I2A00000XQGPWUA5,City-1719,Class A,County-0233,N,True,Market-0106,27.0,2.0,,96.0,117.06,105769.23,Multi-Housing,Southwest,33000000.0,12/20/2013,14.8,281908.0,312.0,2007.0
175,0012A000023XlX9QAK,36,28756,True,False,1,False,False,False,False,False,True,True,False,15,21,155,66,166,15,False,0062A00000moLmDQAU,2/12/2014,21600000.0,0062A00000moLmDQAU,11/8/2013,2/12/2014 0:00,Property Sale,True,0.0,2013 4,4,2013,Investment Sales,Multi-Housing,Apartments,a0A2A00000TzoErUAJ,005F0000007WnNDIA0,a0I2A00000XQJTVUA5,Existing,2015 Tax @ $2382.61/Unit; 2007 Combined Est Tax/Ops @ $4125.37/Unit,a0I2A00000XQJTVUA5,City-1808,Class A,County-0053,N,True,Market-0204,20.0,2.0,40.0,97.0,108.86,90000.0,Multi-Housing,Southwest,21600000.0,2/12/2014,15.0,198412.0,240.0,2006.0
176,0012A000023XlX9QAK,36,28756,True,False,1,False,False,False,False,False,True,True,False,15,21,155,66,166,15,False,0062A00000moLm3QAE,5/31/2011,0.0,0062A00000moLm3QAE,4/7/2011,5/28/2011 0:00,Fixed-rate,True,0.0,2011 2,2,2011,Debt,Multi-Housing,Apartments,a0A2A00000TznCzUAJ,005F0000007WnNDIA0,a0I2A00000XQIYMUA5,Existing,"2016 Tax @ $3012.61/Unit, 2011 Est Tax @ $2265.77/Unit",a0I2A00000XQIYMUA5,City-0081,Class A,County-0239,N,False,Market-0013,6.0,3.0,375.0,97.0,128.42,138888.89,Multi-Housing,Southeast,32500000.0,3/23/2011,6.71,253075.0,234.0,1996.0
177,0012A000023XlX9QAK,36,28756,True,False,1,False,False,False,False,False,True,True,False,15,21,155,66,166,15,False,0062A00000moLleQAE,8/11/2016,0.0,0062A00000moLleQAE,2/4/2016,8/9/2016 0:00,Property Sale,True,0.0,2016 1,1,2016,Investment Sales,Multi-Housing,Apartments,a0A2A00000TzmwoUAB,005F0000007WnNDIA0,a0I2A00000XQILIUA5,Existing,2015 Tax @ $1319.87/Unit,a0I2A00000XQILIUA5,City-2029,Class B,County-0301,N,True,Market-0232,38.0,2.0,665.0,97.0,106.81,130630.63,Multi-Housing,Southeast,58000000.0,8/9/2016,30.26,543012.0,444.0,1985.0
293,0012A000023XoRaQAK,61,64440,True,False,1,False,False,False,False,False,True,True,False,45,16,46,79,54,43,False,0062A00000moSx6QAE,9/29/2016,0.0,0062A00000moSx6QAE,8/10/2016,9/29/2016 0:00,Fixed-rate,True,0.0,2016 3,3,2016,Debt,Office,Office,a0A2A00000Tzmp5UAB,005F0000007WnNDIA0,a0I2A00000XQIEIUA5,Existing,"2014 Tax @ $2.72/sf, 2016 Est Tax @ $4.06/sf; 2016 Est Ops @ $11.86/sf",a0I2A00000XQIEIUA5,City-0376,Class A,County-0160,N,False,Market-0047,1.0,52.0,,95.0,409.46,,Office,Midwest,467500000.0,9/29/2016,3.8401,1141760.0,,1971.0
302,0012A000023YGakQAG,19,1605,True,False,1,False,False,False,True,False,False,True,False,17,2,1,21,1,17,False,0062A00000moNRXQA2,8/30/2013,0.0,0062A00000moNRXQA2,7/9/2013,8/30/2013 0:00,Fixed-rate,True,0.0,2013 3,3,2013,Debt,Multi-Housing,Apartments,a0A2A00000TznHLUAZ,005F0000007WnNDIA0,a0I2A00000XQIbeUAH,Existing,2016 Tax @ $2691.95/Unit,a0I2A00000XQIbeUAH,City-1627,Class A,County-0154,N,False,Market-0059,15.0,3.0,276.0,98.0,160.4,190555.56,Multi-Housing,Southwest,34300000.0,11/4/2016,11.83,213838.0,180.0,1999.0
306,0012A000023YGakQAG,19,1605,True,False,1,False,False,False,True,False,False,True,False,17,2,1,21,1,17,False,0062A00000moNRgQAM,8/29/2014,0.0,0062A00000moNRgQAM,8/8/2014,8/29/2014 0:00,Fixed-rate,True,0.0,2014 3,3,2014,Debt,Multi-Housing,Apartments,a0A2A00000Tzp77UAB,005F0000007WnNDIA0,a0I2A00000XQKGFUA5,Existing,2016 Tax @ $1027.25/Unit,a0I2A00000XQKGFUA5,City-0353,Class A,County-0400,N,True,Market-0178,29.0,2.0,383.0,97.0,90.79,91346.15,Multi-Housing,Southwest,19000000.0,11/9/2009,13.0,209284.0,208.0,1997.0
319,0012A000023XqMLQA0,23,17358,True,False,1,False,False,False,False,False,True,True,False,15,8,25,28,27,14,False,0062A00000moASMQA2,5/1/2012,0.0,0062A00000moASMQA2,3/26/2012,5/1/2012 0:00,Fixed-rate,True,,2012 1,1,2012,Debt,Multi-Housing,Apartments,a0A2A00000TzntgUAB,005F0000007WnNDIA0,a0I2A00000XQJBOUA5,Existing,,a0I2A00000XQJBOUA5,City-0090,Class A,County-0636,N,False,Market-0016,27.0,3.0,700.0,96.0,99.46,97077.24,Multi-Housing,Southwest,46500000.0,12/30/2009,37.0,467504.0,479.0,2001.0
320,0012A000023XqMLQA0,23,17358,True,False,1,False,False,False,False,False,True,True,False,15,8,25,28,27,14,False,0062A00000moAS2QAM,1/28/2010,0.0,0062A00000moAS2QAM,11/23/2009,1/28/2010 0:00,Fixed-rate,True,0.0,2009 4,4,2009,Debt,Multi-Housing,Apartments,a0A2A00000TzntmUAB,005F0000007WnNDIA0,a0I2A00000XQJBOUA5,Existing,,a0I2A00000XQJBOUA5,City-0090,Class A,County-0636,N,False,Market-0016,27.0,3.0,700.0,96.0,99.46,97077.24,Multi-Housing,Southwest,46500000.0,12/30/2009,37.0,467504.0,479.0,2001.0
321,0012A000023XqMLQA0,23,17358,True,False,1,False,False,False,False,False,True,True,False,15,8,25,28,27,14,False,0062A00000moAP9QAM,5/4/2012,0.0,0062A00000moAP9QAM,12/2/2011,5/4/2012 0:00,Fixed-rate,True,10.0,2011 4,4,2011,Debt,Multi-Housing,Apartments,a0A2A00000TzlhGUAR,005F0000007WnNDIA0,a0I2A00000XQHEpUAP,Existing,"2015 Tax @ $972.89/Unit, 2014 Est Tax @ $750.05/Unit",a0I2A00000XQHEpUAP,City-1211,Class A,County-0054,N,False,Market-0143,12.0,4.0,600.0,93.0,79.39,87585.03,Multi-Housing,Southeast,25750000.0,5/29/2014,13.6,324354.0,294.0,2008.0
322,0012A000023XqMLQA0,23,17358,True,False,1,False,False,False,False,False,True,True,False,15,8,25,28,27,14,False,0062A00000moARxQAM,4/29/2010,0.0,0062A00000moARxQAM,1/28/2010,4/28/2010 0:00,Fixed-rate,True,0.0,2010 1,1,2010,Debt,Multi-Housing,Apartments,a0A2A00000TzlhJUAR,005F0000007WnNDIA0,a0I2A00000XQHEpUAP,Existing,"2015 Tax @ $972.89/Unit, 2014 Est Tax @ $750.05/Unit",a0I2A00000XQHEpUAP,City-1211,Class A,County-0054,N,False,Market-0143,12.0,4.0,600.0,93.0,79.39,87585.03,Multi-Housing,Southeast,25750000.0,5/29/2014,13.6,324354.0,294.0,2008.0
323,0012A000023XqMLQA0,23,17358,True,False,1,False,False,False,False,False,True,True,False,15,8,25,28,27,14,False,0062A00000moAPOQA2,6/1/2011,0.0,0062A00000moAPOQA2,1/5/2011,6/1/2011 0:00,Fixed-rate,True,0.0,2011 1,1,2011,Debt,Multi-Housing,Apartments,a0A2A00000Tzn7DUAR,005F0000007WnNDIA0,a0I2A00000XQIUCUA5,Existing,2016 Tax @ $1178.18/Unit,a0I2A00000XQIUCUA5,City-1734,Class A,County-0185,N,True,Market-0059,12.0,3.0,400.0,98.0,79.43,67916.67,Multi-Housing,Southwest,16300000.0,6/15/2004,13.0,205200.0,240.0,2002.0
324,0012A000023XqMLQA0,23,17358,True,False,1,False,False,False,False,False,True,True,False,15,8,25,28,27,14,False,0062A00000moAPOQA2,6/1/2011,0.0,0062A00000moAPOQA2,1/5/2011,6/1/2011 0:00,Fixed-rate,True,0.0,2011 1,1,2011,Debt,Multi-Housing,Apartments,a0A2A00000Tzn7EUAR,005F0000007WnNDIA0,a0I2A00000XQIUDUA5,Existing,2012 Tax @ $1948.50/Unit,a0I2A00000XQIUDUA5,City-1961,Class B,County-0431,N,True,Market-0106,14.0,2.0,200.0,95.0,,,Multi-Housing,Southwest,,,14.714,152200.0,200.0,1984.0
325,0012A000023XqMLQA0,23,17358,True,False,1,False,False,False,False,False,True,True,False,15,8,25,28,27,14,False,0062A00000moAPOQA2,6/1/2011,0.0,0062A00000moAPOQA2,1/5/2011,6/1/2011 0:00,Fixed-rate,True,0.0,2011 1,1,2011,Debt,Multi-Housing,Apartments,a0A2A00000Tzn7FUAR,005F0000007WnNDIA0,a0I2A00000XQIUEUA5,Existing,2016 Tax @ $1547.46/Unit; 2007 Ops @ $3474.00/Unit,a0I2A00000XQIUEUA5,City-1961,Class B,County-0284,N,True,Market-0106,18.0,2.0,240.0,90.0,,,Multi-Housing,Southwest,,,8.9172,160576.0,208.0,1984.0
326,0012A000023XqMLQA0,23,17358,True,False,1,False,False,False,False,False,True,True,False,15,8,25,28,27,14,False,0062A00000moAPOQA2,6/1/2011,0.0,0062A00000moAPOQA2,1/5/2011,6/1/2011 0:00,Fixed-rate,True,0.0,2011 1,1,2011,Debt,Multi-Housing,Apartments,a0A2A00000Tzn7GUAR,005F0000007WnNDIA0,a0I2A00000XQIUFUA5,Existing,2016 Tax @ $0.07/Unit,a0I2A00000XQIUFUA5,City-0752,Class A,County-0272,N,True,Market-0013,27.0,2.0,1075.0,93.0,29.09,70287.54,Multi-Housing,Southeast,22000000.0,2/18/2005,27.3,756238.0,313.0,1998.0
327,0012A000023XqMLQA0,23,17358,True,False,1,False,False,False,False,False,True,True,False,15,8,25,28,27,14,False,0062A00000moAPOQA2,6/1/2011,0.0,0062A00000moAPOQA2,1/5/2011,6/1/2011 0:00,Fixed-rate,True,0.0,2011 1,1,2011,Debt,Multi-Housing,Apartments,a0A2A00000TzoHJUAZ,005F0000007WnNDIA0,a0I2A00000XQJVqUAP,Existing,2016 Tax @ $1903.22/Unit,a0I2A00000XQJVqUAP,City-0488,Class B,County-0172,N,True,Market-0059,30.0,2.0,,94.0,84.11,76829.27,Multi-Housing,Southwest,31500000.0,12/30/2014,15.53,374510.0,410.0,1978.0
328,0012A000023XqMLQA0,23,17358,True,False,1,False,False,False,False,False,True,True,False,15,8,25,28,27,14,False,0062A00000moAKPQA2,6/7/2012,23000000.0,0062A00000moAKPQA2,2/6/2012,6/7/2012 0:00,Property Sale,True,0.0,2012 1,1,2012,Investment Sales,Multi-Housing,Apartments,a0A2A00000TzoHKUAZ,005F0000007WnNDIA0,a0I2A00000XQJVqUAP,Existing,2016 Tax @ $1903.22/Unit,a0I2A00000XQJVqUAP,City-0488,Class B,County-0172,N,True,Market-0059,30.0,2.0,,94.0,84.11,76829.27,Multi-Housing,Southwest,31500000.0,12/30/2014,15.53,374510.0,410.0,1978.0
333,0012A000023XqMLQA0,23,17358,True,False,1,False,False,False,False,False,True,True,False,15,8,25,28,27,14,False,0062A00000moAPOQA2,6/1/2011,0.0,0062A00000moAPOQA2,1/5/2011,6/1/2011 0:00,Fixed-rate,True,0.0,2011 1,1,2011,Debt,Multi-Housing,Apartments,a0A2A00000TzorDUAR,005F0000007WnNDIA0,a0I2A00000XQK2hUAH,Existing,2016 Tax @ $4260.70/Unit,a0I2A00000XQK2hUAH,City-0970,Class A,County-0172,N,True,Market-0059,1.0,5.0,400.0,95.0,66.96,108856.09,Multi-Housing,Southwest,29500000.0,12/1/2010,5.356,440530.0,271.0,2007.0
334,0012A000023XqMLQA0,23,17358,True,False,1,False,False,False,False,False,True,True,False,15,8,25,28,27,14,False,0062A00000moAPOQA2,6/1/2011,0.0,0062A00000moAPOQA2,1/5/2011,6/1/2011 0:00,Fixed-rate,True,0.0,2011 1,1,2011,Debt,Multi-Housing,Apartments,a0A2A00000TzorEUAR,005F0000007WnNDIA0,a0I2A00000XQK2lUAH,Existing,2010 Tax @ $988.09/Unit,a0I2A00000XQK2lUAH,City-0566,Class A,County-0269,N,True,Market-0013,19.0,3.0,500.0,96.0,150.74,74218.75,Multi-Housing,Southeast,28500000.0,8/24/2004,34.19,189064.0,384.0,2001.0
