,id_accs,active_deals,activity_count,buyer_book,servicing_contract,investor_type,cmbs,consultant,correspondent,foreign,master_servicer,lender_book,loan_sales_book,loan_servicing,num_deals_as_client,num_deals_as_investor,number_of_properties,number_of_related_deals,number_of_related_properties,number_of_won_deals_as_client,investor_type_IsMissing,id_deals_x,accounting_date,best_initial_bid,id_deals.1,closedate,date_closed,deal_type,deal_update_flag,debt_yield,fiscal,fiscalquarter,fiscalyear,platform,property_group,property_type,id,createdbyid,id_props,building_status,building_tax_expenses,id_deals_y,city,class,county,sale_status,portfolio,market,num_buildings,num_floors,num_parking_spaces,occupancy_rate,price_per_sq_ft,price_per_unit,property_type_1,region__c,sale_amount__c,sale_date__c,size_acres,size_sf,size_units,year_built
26,0012A000023YLqwQAG,891,50161,True,True,2,False,False,False,False,False,True,True,False,40,851,693,996,1167,37,False,0062A00000moZkYQAU,11/26/2013,0.0,0062A00000moZkYQAU,6/17/2013,11/26/2013 0:00,Property Sale,True,0.0,2013 2,2,2013,Investment Sales,Multi-Housing,Apartments,a0A2A00000TzmanUAB,005F0000007WnNDIA0,a0I2A00000XQI21UAH,Existing,2016 Tax @ $994.66/Unit,a0I2A00000XQI21UAH,City-1532,Class B,County-0471,N,False,Market-0171,18.0,2.0,540.0,94.0,106.06,88513.51,Multi-Housing,Southeast,26200000.0,11/29/2016,25.9,247024.0,296.0,1973.0
27,0012A000023YLqwQAG,891,50161,True,True,2,False,False,False,False,False,True,True,False,40,851,693,996,1167,37,False,0062A00000moZiNQAU,11/29/2010,141000000.0,0062A00000moZiNQAU,8/6/2010,11/24/2010 0:00,Well-Performing,True,,2010 3,3,2010,Loan Sales,Multi-Housing,SFR - Attached,a0A2A00000TzlCHUAZ,005F0000007WnNDIA0,a0I2A00000XQGo7UAH,Existing,"2011 Tax @ $181.11/Unit, 2014 Est Tax @ $14.52/Unit",a0I2A00000XQGo7UAH,City-1290,Class A,County-0419,N,False,Market-0151,2.0,49.0,,50.0,26.7,32771.08,Multi-Housing,Southeast,27200000.0,5/4/2015,3.6,1018800.0,830.0,2008.0
28,0012A000023YLqwQAG,891,50161,True,True,2,False,False,False,False,False,True,True,False,40,851,693,996,1167,37,False,0062A00000moZhCQAU,12/19/2012,0.0,0062A00000moZhCQAU,10/17/2011,12/19/2012 0:00,Property Sale,True,0.0,2011 4,4,2011,Investment Sales,Office,Office,a0A2A00000TzklUUAR,005F0000007WnNDIA0,a0I2A00000XQGP5UAP,Demolished,2012 Tax @ $0.37/sf,a0I2A00000XQGP5UAP,City-0488,Class A,County-0172,N,False,Market-0059,1.0,15.0,600.0,100.0,220.83,222826.09,Office,Southwest,61500000.0,12/7/2015,2.71,278496.0,276.0,1971.0
34,0012A000023YLqwQAG,891,50161,True,True,2,False,False,False,False,False,True,True,False,40,851,693,996,1167,37,False,0062A00000moZkdQAE,6/25/2013,0.0,0062A00000moZkdQAE,5/14/2013,6/26/2013 0:00,Property Sale,True,0.0,2013 2,2,2013,Investment Sales,Office,Office,a0A2A00000TzpNJUAZ,005F0000007WnNDIA0,a0I2A00000XQKTYUA5,,,a0I2A00000XQKTYUA5,City-1797,Class B,County-0518,N,False,Market-0153,1.0,2.0,,100.0,20.11,,Office,Midwest,1500000.0,6/26/2013,5.0,74584.0,,1986.0
35,0012A000023YLqwQAG,891,50161,True,True,2,False,False,False,False,False,True,True,False,40,851,693,996,1167,37,False,0062A00000moZl2QAE,3/15/2012,0.0,0062A00000moZl2QAE,7/13/2011,3/15/2012 0:00,Non-Performing,True,,2011 3,3,2011,Loan Sales,Office,Office,a0A2A00000TzliHUAR,005F0000007WnNDIA0,a0I2A00000XQHFcUAP,Existing,2016 Tax @ $2.53/sf; 2008 Combined Est Tax/Ops @ $11.96/sf,a0I2A00000XQHFcUAP,City-0367,Class A,County-0098,N,False,Market-0177,1.0,3.0,400.0,80.0,121.35,,Office,Northeast,11650000.0,2/7/2008,7.71,96000.0,,1987.0
36,0012A000023YLqwQAG,891,50161,True,True,2,False,False,False,False,False,True,True,False,40,851,693,996,1167,37,False,0062A00000moZesQAE,12/31/2008,0.0,0062A00000moZesQAE,6/18/2008,12/31/2008 0:00,Well-Performing,True,,2008 2,2,2008,Loan Sales,Office,Office,a0A2A00000Tzp8NUAR,005F0000007WnNDIA0,a0I2A00000XQKH0UAP,Existing,2016 Tax @ $4.88/sf,a0I2A00000XQKH0UAP,City-1813,Class A,County-0562,N,False,Market-0205,,10.0,300.0,100.0,5581.49,,Office,West,1046881000.0,4/2/2007,2.54,187563.0,,1987.0
37,0012A000023YLqwQAG,891,50161,True,True,2,False,False,False,False,False,True,True,False,40,851,693,996,1167,37,False,0062A00000moZksQAE,3/26/2012,20250000.0,0062A00000moZksQAE,10/11/2011,3/20/2012 0:00,Property Sale,True,0.0,2011 4,4,2011,Investment Sales,Retail,Retail,a0A2A00000TzmICUAZ,005F0000007WnNDIA0,a0I2A00000XQHmIUAX,,,a0I2A00000XQHmIUAX,City-1671,,County-0028,N,False,Market-0158,,,,36.0,70.26,,Retail,Southeast,19750000.0,3/20/2012,,281104.0,,2008.0
38,0012A000023YLqwQAG,891,50161,True,True,2,False,False,False,False,False,True,True,False,40,851,693,996,1167,37,False,0062A00000moZiXQAU,2/15/2010,60000000.0,0062A00000moZiXQAU,7/21/2009,1/29/2010 0:00,Property Sale,True,,2009 3,3,2009,Investment Sales,Retail,Retail,a0A2A00000TzqQpUAJ,005F0000007WnNDIA0,a0I2A00000XQLONUA5,Existing,2013 Combined Est Tax/Ops @ $11.52/sf,a0I2A00000XQLONUA5,City-0090,,County-0636,N,False,Market-0016,,2.0,290.0,55.0,3188.34,,Retail,Southwest,297000000.0,9/18/2014,57.53,93152.0,,2007.0
184,0012A000023XoQbQAK,278,171433,True,True,2,False,False,False,False,False,True,True,False,101,177,133,375,255,88,False,0062A00000moSu2QAE,1/23/2015,0.0,0062A00000moSu2QAE,10/2/2014,1/23/2015 0:00,Floating-Rate,True,0.0,2014 4,4,2014,Debt,Multi-Housing,Apartments,a0A2A00000TzpP9UAJ,005F0000007WnNDIA0,a0I2A00000XQKVUUA5,Existing,2016 Tax @ $5419.69/Unit,a0I2A00000XQKVUUA5,City-0488,Class A,County-0172,N,False,Market-0059,1.0,10.0,246.0,97.0,204.41,199305.56,Multi-Housing,Southwest,28700000.0,6/28/2016,0.91,140401.0,144.0,2003.0
192,0012A000023XoQbQAK,278,171433,True,True,2,False,False,False,False,False,True,True,False,101,177,133,375,255,88,False,0062A00000moShaQAE,8/31/2007,0.0,0062A00000moShaQAE,5/1/2007,8/29/2007 0:00,Fixed-rate,True,0.0,2007 2,2,2007,Debt,Hotel-Lodging,Hotel/Lodging,a0A2A00000Tzm6YUAR,005F0000007WnNDIA0,a0I2A00000XQHbdUAH,Existing,,a0I2A00000XQHbdUAH,City-0109,Class A,County-0032,N,False,Market-0245,,,,70.0,,,Hotel-Lodging,Mid-Atlantic,,,,,753.0,2001.0
193,0012A000023XoQbQAK,278,171433,True,True,2,False,False,False,False,False,True,True,False,101,177,133,375,255,88,False,0062A00000moSrZQAU,12/18/2013,0.0,0062A00000moSrZQAU,8/9/2011,12/18/2013 0:00,Floating-Rate,True,12.0,2011 3,3,2011,Debt,Hotel-Lodging,Hotel/Lodging,a0A2A00000TzlQ3UAJ,005F0000007WnNDIA0,a0I2A00000XQGzWUAX,Existing,2008 Tax @ $2.18/sf,a0I2A00000XQGzWUAX,City-1195,,County-0385,N,False,Market-0140,1.0,2.0,,70.0,113.42,103686.64,Hotel-Lodging,West,45000000.0,10/7/2011,1.0,396766.0,434.0,1977.0
194,0012A000023XoQbQAK,278,171433,True,True,2,False,False,False,False,False,True,True,False,101,177,133,375,255,88,False,0062A00000moSk7QAE,8/15/2013,0.0,0062A00000moSk7QAE,2/24/2011,8/14/2013 0:00,Property Sale,True,0.0,2011 1,1,2011,Investment Sales,Hotel-Lodging,Hotel/Lodging,a0A2A00000Tzn44UAB,005F0000007WnNDIA0,a0I2A00000XQIMIUA5,Existing,"2016 Tax @ $0.91/sf, 2013 Est Tax @ $0.93/sf; 2013 Est Ops @ $10.66/sf",a0I2A00000XQIMIUA5,City-2029,,County-0301,Y,False,Market-0232,1.0,5.0,280.0,56.0,140.71,71729.96,Hotel-Lodging,Southeast,7600000.0,8/14/2013,4.1667,120812.0,237.0,1981.0
195,0012A000023XoQbQAK,278,171433,True,True,2,False,False,False,False,False,True,True,False,101,177,133,375,255,88,False,0062A00000moSiHQAU,5/24/2006,4689000.0,0062A00000moSiHQAU,8/10/2005,5/24/2006 0:00,Property Sale,True,,2005 3,3,2005,Investment Sales,Industrial,Industrial,a0A2A00000TzoqxUAB,005F0000007WnNDIA0,a0I2A00000XQK2ZUAX,Existing,2016 Tax @ $3.72/sf,a0I2A00000XQK2ZUAX,City-0090,Class B,County-0636,N,False,Market-0016,,1.0,91.0,100.0,50.0,,Office,Southwest,4689300.0,7/31/2014,6.53999,93786.0,,1984.0
196,0012A000023XoQbQAK,278,171433,True,True,2,False,False,False,False,False,True,True,False,101,177,133,375,255,88,False,0062A00000moSspQAE,,,0062A00000moSspQAE,7/14/2008,8/26/2008 0:00,Fixed-rate,True,,2008 3,3,2008,Debt,Multi-Housing,Apartments,a0A2A00000TzpNZUAZ,005F0000007WnNDIA0,a0I2A00000XQKTiUAP,Existing,2016 Tax @ $287.49/Unit,a0I2A00000XQKTiUAP,City-2164,Class A,County-0420,N,True,Market-0032,9.0,3.0,375.0,,338.83,275362.32,Multi-Housing,Northeast,57000000.0,10/14/2016,11.0,168225.0,207.0,1978.0
197,0012A000023XoQbQAK,278,171433,True,True,2,False,False,False,False,False,True,True,False,101,177,133,375,255,88,False,0062A00000moSubQAE,5/28/2013,0.0,0062A00000moSubQAE,9/13/2012,5/23/2013 0:00,Floating-Rate,True,0.0,2012 3,3,2012,Debt,Multi-Housing,Apartments,a0A2A00000TzpNaUAJ,005F0000007WnNDIA0,a0I2A00000XQKTiUAP,Existing,2016 Tax @ $287.49/Unit,a0I2A00000XQKTiUAP,City-2164,Class A,County-0420,N,True,Market-0032,9.0,3.0,375.0,,338.83,275362.32,Multi-Housing,Northeast,57000000.0,10/14/2016,11.0,168225.0,207.0,1978.0
198,0012A000023XoQbQAK,278,171433,True,True,2,False,False,False,False,False,True,True,False,101,177,133,375,255,88,False,0062A00000moSjpQAE,,,0062A00000moSjpQAE,5/15/2008,7/1/2008 0:00,Fixed-rate,True,,2008 2,2,2008,Debt,Multi-Housing,Apartments,a0A2A00000TznTzUAJ,005F0000007WnNDIA0,a0I2A00000XQIoPUAX,Existing,2016 Tax @ $2847.29/Unit,a0I2A00000XQIoPUAX,City-0081,Class A,County-0239,N,True,Market-0013,1.0,6.0,200.0,91.0,175.76,166393.44,Multi-Housing,Southeast,50750000.0,9/28/2005,6.74,288750.0,305.0,2005.0
199,0012A000023XoQbQAK,278,171433,True,True,2,False,False,False,False,False,True,True,False,101,177,133,375,255,88,False,0062A00000moSkgQAE,,,0062A00000moSkgQAE,3/10/2003,6/26/2003 0:00,Fixed-rate,True,,2003 1,1,2003,Debt,Multi-Housing,Apartments,a0A2A00000TzqzKUAR,005F0000007WnNDIA0,a0I2A00000XQLrTUAX,Existing,2016 Tax @ $3822.32/Unit,a0I2A00000XQLrTUAX,City-0520,Class A,County-0478,N,False,Market-0248,21.0,1.0,411.0,93.0,147216.49,149528.8,Multi-Housing,Southeast,28560000.0,5/8/2003,18.02,194.0,191.0,1998.0
200,0012A000023XoQbQAK,278,171433,True,True,2,False,False,False,False,False,True,True,False,101,177,133,375,255,88,False,0062A00000moSlAQAU,,,0062A00000moSlAQAU,10/29/2004,12/17/2004 0:00,Fixed-rate,True,,2004 4,4,2004,Debt,Multi-Housing,Apartments,a0A2A00000Tzqb6UAB,005F0000007WnNDIA0,a0I2A00000XQLXMUA5,Existing,,a0I2A00000XQLXMUA5,City-0386,Class B,County-0273,N,False,Market-0049,11.0,4.0,425.0,93.0,68.6,112750.0,Multi-Housing,Midwest,22550000.0,10/5/2004,5.301,328736.0,200.0,2001.0
201,0012A000023XoQbQAK,278,171433,True,True,2,False,False,False,False,False,True,True,False,101,177,133,375,255,88,False,0062A00000moSlkQAE,,,0062A00000moSlkQAE,5/9/2008,7/1/2008 0:00,Fixed-rate,True,,2008 2,2,2008,Debt,Multi-Housing,Apartments,a0A2A00000TzlduUAB,005F0000007WnNDIA0,a0I2A00000XQHBhUAP,Existing,2014 Tax @ $3256.37/Unit,a0I2A00000XQHBhUAP,City-0376,Class A,County-0160,N,True,Market-0047,1.0,25.0,201.0,99.0,539.88,563157.89,Multi-Housing,Midwest,96300000.0,5/13/2013,0.4339,178372.0,171.0,2005.0
202,0012A000023XoQbQAK,278,171433,True,True,2,False,False,False,False,False,True,True,False,101,177,133,375,255,88,False,0062A00000moSpdQAE,,,0062A00000moSpdQAE,5/15/2008,8/6/2008 0:00,Fixed-rate,True,,2008 2,2,2008,Debt,Multi-Housing,Apartments,a0A2A00000TzrK6UAJ,005F0000007WnNDIA0,a0I2A00000XQM90UAH,Existing,2009 Tax @ $3689.16/Unit,a0I2A00000XQM90UAH,City-1524,Class A,County-0471,N,True,Market-0140,1.0,4.0,510.0,95.0,421297.3,421297.3,Multi-Housing,West,117120649.8,5/13/2013,4.71,278.0,278.0,2006.0
203,0012A000023XoQbQAK,278,171433,True,True,2,False,False,False,False,False,True,True,False,101,177,133,375,255,88,False,0062A00000moSrsQAE,,,0062A00000moSrsQAE,5/15/2008,7/1/2008 0:00,Fixed-rate,True,,2008 2,2,2008,Debt,Multi-Housing,Apartments,a0A2A00000TzlibUAB,005F0000007WnNDIA0,a0I2A00000XQHFtUAP,Existing,2016 Tax @ $2452.20/Unit,a0I2A00000XQHFtUAP,City-0081,Class A,County-0239,N,True,Market-0013,12.0,2.0,,88.0,140.75,169267.14,Multi-Housing,Southeast,71600000.0,6/29/2015,14.75,508687.0,423.0,1999.0
204,0012A000023XoQbQAK,278,171433,True,True,2,False,False,False,False,False,True,True,False,101,177,133,375,255,88,False,0062A00000moSsVQAU,,,0062A00000moSsVQAU,5/15/2008,7/1/2008 0:00,Fixed-rate,True,,2008 2,2,2008,Debt,Multi-Housing,Apartments,a0A2A00000TzmaGUAR,005F0000007WnNDIA0,a0I2A00000XQI1BUAX,Existing,2016 Tax @ $1208.64/Unit,a0I2A00000XQI1BUAX,City-0573,Class A,County-0201,N,True,Market-0188,40.0,3.0,845.0,90.0,97.71,91458.33,Multi-Housing,Mid-Atlantic,43900000.0,11/30/2003,39.659,449286.0,480.0,2001.0
205,0012A000023XoQbQAK,278,171433,True,True,2,False,False,False,False,False,True,True,False,101,177,133,375,255,88,False,0062A00000moSsbQAE,,,0062A00000moSsbQAE,5/9/2008,8/6/2008 0:00,Fixed-rate,True,,2008 2,2,2008,Debt,Multi-Housing,Apartments,a0A2A00000Tzp2TUAR,005F0000007WnNDIA0,a0I2A00000XQKCDUA5,Existing,,a0I2A00000XQKCDUA5,City-0383,Class A,County-0562,N,True,Market-0205,23.0,,,91.0,207546.56,207546.56,Multi-Housing,West,103773277.6,5/13/2013,26.42998,500.0,500.0,1991.0
206,0012A000023XoQbQAK,278,171433,True,True,2,False,False,False,False,False,True,True,False,101,177,133,375,255,88,False,0062A00000moSnIQAU,7/21/2008,,0062A00000moSnIQAU,4/24/2008,7/21/2008 0:00,Fixed-rate,True,0.0,2008 2,2,2008,Debt,Multi-Housing,Apartments,a0A2A00000TzmWTUAZ,005F0000007WnNDIA0,a0I2A00000XQHyuUAH,Existing,"2015 Tax @ $2369.47/Unit, 2016 Est Tax @ $3375.00/Unit; 2016 Est Ops @ $4214.29/Unit",a0I2A00000XQHyuUAH,City-0783,Class B,County-0385,N,True,Market-0140,1.0,3.0,58.0,100.0,402.35,305357.14,Multi-Housing,West,17100000.0,1/20/2016,0.67,42500.0,56.0,1959.0
207,0012A000023XoQbQAK,278,171433,True,True,2,False,False,False,False,False,True,True,False,101,177,133,375,255,88,False,0062A00000moSubQAE,5/28/2013,0.0,0062A00000moSubQAE,9/13/2012,5/23/2013 0:00,Floating-Rate,True,0.0,2012 3,3,2012,Debt,Multi-Housing,Apartments,a0A2A00000TzmWqUAJ,005F0000007WnNDIA0,a0I2A00000XQHyuUAH,Existing,"2015 Tax @ $2369.47/Unit, 2016 Est Tax @ $3375.00/Unit; 2016 Est Ops @ $4214.29/Unit",a0I2A00000XQHyuUAH,City-0783,Class B,County-0385,N,True,Market-0140,1.0,3.0,58.0,100.0,402.35,305357.14,Multi-Housing,West,17100000.0,1/20/2016,0.67,42500.0,56.0,1959.0
208,0012A000023XoQbQAK,278,171433,True,True,2,False,False,False,False,False,True,True,False,101,177,133,375,255,88,False,0062A00000moSsQQAU,7/22/2008,,0062A00000moSsQQAU,4/10/2008,7/21/2008 0:00,Fixed-rate,True,0.0,2008 2,2,2008,Debt,Multi-Housing,Apartments,a0A2A00000TzrIlUAJ,005F0000007WnNDIA0,a0I2A00000XQM7yUAH,Existing,2016 Tax @ $3291.54/Unit,a0I2A00000XQM7yUAH,City-0314,Class B,County-0562,N,False,Market-0205,1.0,2.0,117.0,100.0,215.91,237500.0,Multi-Housing,West,11400000.0,4/29/2008,2.83,52800.0,48.0,1986.0
209,0012A000023XoQbQAK,278,171433,True,True,2,False,False,False,False,False,True,True,False,101,177,133,375,255,88,False,0062A00000moSubQAE,5/28/2013,0.0,0062A00000moSubQAE,9/13/2012,5/23/2013 0:00,Floating-Rate,True,0.0,2012 3,3,2012,Debt,Multi-Housing,Apartments,a0A2A00000TzmWlUAJ,005F0000007WnNDIA0,a0I2A00000XQHytUAH,Existing,,a0I2A00000XQHytUAH,City-0355,,County-0219,N,True,Market-0245,1.0,1.0,,100.0,203.29,,Office,Mid-Atlantic,12440000.0,8/16/2007,4.11,61192.0,,1990.0
210,0012A000023XoQbQAK,278,171433,True,True,2,False,False,False,False,False,True,True,False,101,177,133,375,255,88,False,0062A00000moSubQAE,5/28/2013,0.0,0062A00000moSubQAE,9/13/2012,5/23/2013 0:00,Floating-Rate,True,0.0,2012 3,3,2012,Debt,Multi-Housing,Apartments,a0A2A00000TzpNXUAZ,005F0000007WnNDIA0,a0I2A00000XQKThUAP,Existing,2016 Tax @ $1.65/sf,a0I2A00000XQKThUAP,City-1981,Class B,County-0386,N,True,Market-0245,1.0,5.0,330.0,100.0,184.26,,Office,Mid-Atlantic,20750000.0,8/16/2007,12.16,112613.0,,1989.0
211,0012A000023XoQbQAK,278,171433,True,True,2,False,False,False,False,False,True,True,False,101,177,133,375,255,88,False,0062A00000moSm3QAE,6/26/2008,0.0,0062A00000moSm3QAE,4/8/2008,6/26/2008 0:00,Fixed-rate,True,,2008 2,2,2008,Debt,Office,Office,a0A2A00000TzpNYUAZ,005F0000007WnNDIA0,a0I2A00000XQKThUAP,Existing,2016 Tax @ $1.65/sf,a0I2A00000XQKThUAP,City-1981,Class B,County-0386,N,True,Market-0245,1.0,5.0,330.0,100.0,184.26,,Office,Mid-Atlantic,20750000.0,8/16/2007,12.16,112613.0,,1989.0
212,0012A000023XoQbQAK,278,171433,True,True,2,False,False,False,False,False,True,True,False,101,177,133,375,255,88,False,0062A00000moSubQAE,5/28/2013,0.0,0062A00000moSubQAE,9/13/2012,5/23/2013 0:00,Floating-Rate,True,0.0,2012 3,3,2012,Debt,Multi-Housing,Apartments,a0A2A00000TzpNbUAJ,005F0000007WnNDIA0,a0I2A00000XQKTmUAP,,,a0I2A00000XQKTmUAP,City-0314,,County-0562,N,True,Market-0205,1.0,2.0,,96.0,,,Multi-Housing,West,,,2.83,52800.0,48.0,1986.0
213,0012A000023XoQbQAK,278,171433,True,True,2,False,False,False,False,False,True,True,False,101,177,133,375,255,88,False,0062A00000moSubQAE,5/28/2013,0.0,0062A00000moSubQAE,9/13/2012,5/23/2013 0:00,Floating-Rate,True,0.0,2012 3,3,2012,Debt,Multi-Housing,Apartments,a0A2A00000TzpwMUAR,005F0000007WnNDIA0,a0I2A00000XQKwkUAH,Existing,2016 Tax @ $2.13/sf,a0I2A00000XQKwkUAH,City-0355,Class A,County-0219,N,True,Market-0245,1.0,2.0,360.0,100.0,208.67,,Office,Mid-Atlantic,13800000.0,8/16/2007,4.813,66132.0,,1988.0
