id_props,building_status,building_tax_expenses,id_deals,city,class,county,sale_status,portfolio,market,num_buildings,num_floors,num_parking_spaces,occupancy_rate,price_per_sq_ft,price_per_unit,property_type_1,region__c,sale_amount__c,sale_date__c,size_acres,size_sf,size_units,year_built
a0I2A00000XQGLBUA5,,,a0I2A00000XQGLBUA5,City-1663,Class B,County-0436,N,TRUE,Market-0183,1,1,,100,,,Industrial,West,,,3.158,39000,,1981
a0I2A00000XQGLCUA5,,,a0I2A00000XQGLCUA5,City-1462,,County-0478,N,FALSE,Market-0248,,1,,92,188.83,,Retail,Southeast,19000000,8/31/2015,,100621,,1999
a0I2A00000XQGLFUA5,Existing,2011 Tax @ $6.49/sf; 2011 Ops @ $0.87/sf,a0I2A00000XQGLFUA5,City-1663,Class B,County-0436,N,TRUE,Market-0183,1,1,100,80,551.04,,Industrial,West,25830000,4/7/2005,3.158,46875,,1986
a0I2A00000XQGLGUA5,,,a0I2A00000XQGLGUA5,City-1663,Class B,County-0436,N,TRUE,Market-0183,1,1,,100,127.64,,Industrial,West,28750000,4/6/2005,8.62,225250,,1996
a0I2A00000XQGLHUA5,Existing,2015 Tax @ $0.75/sf,a0I2A00000XQGLHUA5,City-0960,Class C,County-0403,N,TRUE,Market-0109,,1,97,100,858.07,,Industrial,Midwest,70099782,9/18/2014,5,81695,,1988
a0I2A00000XQGLKUA5,,,a0I2A00000XQGLKUA5,City-0081,Class A,County-0239,N,TRUE,Market-0013,1,5,,45,,232898.55,Multi-Housing,Southeast,80350000,3/2/2015,4.130004566,,345,2015
a0I2A00000XQGLLUA5,Existing,2016 Tax @ $1075.10/Unit; 2006 Combined Est Tax/Ops @ $3650.70/Unit,a0I2A00000XQGLLUA5,City-0828,Class B,County-0436,Y,FALSE,Market-0183,15,2,250,94,216.44,182666.67,Multi-Housing,West,32650000,10/30/2015,10.17,189890,225,2003
a0I2A00000XQGLNUA5,Existing,2015 Tax @ $578.63/Unit,a0I2A00000XQGLNUA5,City-0526,Class B,County-0186,N,FALSE,Market-0065,3,3,129,95,,89203.13,Multi-Housing,West,5709000,4/22/2015,3.00734617,0,64,1995
a0I2A00000XQGLOUA5,Proposed,,a0I2A00000XQGLOUA5,City-2192,,County-0284,N,FALSE,Market-0106,2,1,,100,40.76,,Retail,Southwest,7150000,2/26/2015,15.9,175422,,1985
a0I2A00000XQGLPUA5,Existing,2016 Tax @ $2.79/sf,a0I2A00000XQGLPUA5,City-0081,Class A,County-0239,Y,FALSE,Market-0013,1,9,,,907.64,1923076.92,Hotel-Lodging,Southeast,42000000,12/23/2014,0.9235,110176,52,2010
a0I2A00000XQGLQUA5,,,a0I2A00000XQGLQUA5,City-1367,Class A,County-0574,N,TRUE,Market-0206,1,2,,100,761.5,,Office,West,23200000,1/13/2015,,30466,,2001
a0I2A00000XQGLRUA5,,,a0I2A00000XQGLRUA5,City-2069,,County-0462,N,FALSE,Market-0165,,,,100,,,Medical Office Building,Northeast,,,,12000,,
a0I2A00000XQGLSUA5,,,a0I2A00000XQGLSUA5,City-1148,,County-0360,N,TRUE,Market-0137,,,,80,60.64,7184.47,Self-Storage,Midwest,3218642,3/17/2014,,53075,448,
a0I2A00000XQGLUUA5,Existing,,a0I2A00000XQGLUUA5,City-0488,Class A,County-0172,N,FALSE,Market-0059,,4,176,96,,,Office,Southwest,,,5.75,120000,,2014
a0I2A00000XQGLVUA5,Existing,2016 Tax @ $10.19/sf; 2006 Ops @ $141.79/sf,a0I2A00000XQGLVUA5,City-0210,,County-0613,N,FALSE,Market-0032,1,11,,80,,,Hotel-Lodging,Northeast,,,8,384545,273,1985
a0I2A00000XQGLWUA5,Demolished,2014 Tax @ $0.26/sf; 2015 Ops @ $5.50/sf,a0I2A00000XQGLWUA5,City-0081,Class B,County-0239,N,FALSE,Market-0013,2,1,25,33,74.67,,Office,Southeast,5600000,10/14/2014,4.9102,75000,,1964
a0I2A00000XQGLXUA5,,,a0I2A00000XQGLXUA5,City-0183,,County-0075,N,TRUE,Market-0026,,,,,,,Multi-Housing,Northeast,,,,,238,
a0I2A00000XQGLYUA5,Existing,2016 Tax @ $1.55/sf,a0I2A00000XQGLYUA5,City-2236,,County-0697,N,TRUE,Market-0032,1,4,250,72,167.32,125560.54,Hotel-Lodging,Northeast,28000000,7/2/2015,7,167346,223,1986
a0I2A00000XQGLZUA5,Existing,2011 Tax @ $1.95/sf; 2007 Combined Est Tax/Ops @ $8.06/sf,a0I2A00000XQGLZUA5,City-1088,Class A,County-0136,N,FALSE,Market-0183,21,8,300,91,2993.46,192982.46,Seniors Housing,West,550000000,9/25/2014,6.2645,183734,2850,1994
a0I2A00000XQGLeUAP,,,a0I2A00000XQGLeUAP,City-0628,,County-0516,N,TRUE,Market-0165,1,2,,43,,,Office,Northeast,,,0,0,3,1965
a0I2A00000XQGLfUAP,,,a0I2A00000XQGLfUAP,City-2328,Class A,County-0680,N,TRUE,Market-0165,,,,98,4299.69,,Multi-Housing,Northeast,80000000,10/1/2015,,18606,,2003
a0I2A00000XQGLgUAP,,,a0I2A00000XQGLgUAP,City-0175,Class B,County-0371,N,FALSE,Market-0005,,,,100,,,Multi-Housing,Mid-Atlantic,,,,11500,18,1930
a0I2A00000XQGLhUAP,,,a0I2A00000XQGLhUAP,City-2094,,County-0641,N,FALSE,Market-0238,5,,,,,,Office,Southwest,,,0,0,0,
a0I2A00000XQGLiUAP,,,a0I2A00000XQGLiUAP,City-1290,,County-0419,N,FALSE,Market-0151,,,,100,2145.77,51239.67,Retail,Southeast,31000000,5/1/2014,0.935,14447,605,1943
a0I2A00000XQGLjUAP,Existing,2016 Tax @ $488.80/Unit,a0I2A00000XQGLjUAP,City-2032,Class B,County-0071,N,FALSE,Market-0032,5,3,100,,,,Multi-Housing,Northeast,,,6.54,120,120,1974
a0I2A00000XQGLkUAP,,,a0I2A00000XQGLkUAP,City-0174,Class A,County-0431,N,FALSE,Market-0245,1,17,,,130.43,253521.13,,Mid-Atlantic,18000000,11/6/2015,0.525344349,138000,71,
a0I2A00000XQGLlUAP,Existing,2015 Tax @ $221.06/Unit,a0I2A00000XQGLlUAP,City-0360,Class A,County-0412,N,TRUE,Market-0043,38,2,535,97,7382.93,8474576.27,Multi-Housing,Mid-Atlantic,2500000000,8/7/2015,39.26,338619,295,2008
a0I2A00000XQGLmUAP,Existing,"2014 Tax @ $5.22/sf, 2012 Est Tax @ $8.04/sf; 2010 Ops @ $5.84/sf, 2012 Est Ops @ $6.58/sf",a0I2A00000XQGLmUAP,City-1857,Class B,County-0160,N,FALSE,Market-0047,1,5,250,100,120.28,,Office,Midwest,12750000,9/24/2014,5.15,106000,,1980
a0I2A00000XQGLnUAP,,,a0I2A00000XQGLnUAP,City-2269,,County-0584,N,TRUE,Market-0250,,,,71,18.41,4300.41,Self-Storage,Midwest,1733066,3/17/2014,,94140,403,
a0I2A00000XQGLoUAP,,,a0I2A00000XQGLoUAP,City-1511,,County-0327,N,TRUE,Market-0120,,,,77,34.26,4573.17,Self-Storage,Midwest,3000000,5/28/2014,,87575,656,
a0I2A00000XQGLpUAP,Existing,"2016 Tax @ $2.82/sf, 2012 Est Tax @ $2.11/sf; 2012 Ops @ $8.66/sf",a0I2A00000XQGLpUAP,City-0969,Class A,County-0471,N,FALSE,Market-0140,3,11,260,91,4164.64,,Retail,West,325000000,1/19/2006,5.6,78038,,1981
a0I2A00000XQGLqUAP,,,a0I2A00000XQGLqUAP,City-0039,Class A,County-0574,N,FALSE,Market-0206,2,6,,83,,,Office,West,,,,430852,,2009
a0I2A00000XQGLrUAP,Existing,"2016 Tax @ $1877.10/Unit, 2014 Est Tax @ $1341.30/Unit; 2012 Ops @ $5929.21/Unit",a0I2A00000XQGLrUAP,City-0032,Class B,County-0239,N,FALSE,Market-0013,25,2,736,95,132.92,168092.11,Multi-Housing,Southeast,38325000,9/24/2015,36.552,288338,228,1996
a0I2A00000XQGLsUAP,Existing,2016 Tax @ $3340.69/Unit; 2007 Combined Est Tax/Ops @ $5130.65/Unit,a0I2A00000XQGLsUAP,City-0936,Class A,County-0284,N,TRUE,Market-0106,16,2,258,96,118.18,123790.76,Multi-Housing,Southwest,26738805,9/18/2013,12.7,226260,216,1995
a0I2A00000XQGLtUAP,,,a0I2A00000XQGLtUAP,City-1818,,County-0574,N,FALSE,Market-0206,1,1,,100,151.53,,Retail,West,18250000,2/28/2014,9.02,120437,,1971
a0I2A00000XQGLuUAP,Existing,2016 Tax @ $2968.69/Unit,a0I2A00000XQGLuUAP,City-0936,Class A,County-0284,N,TRUE,Market-0106,13,3,423,98,120.15,100469.14,Multi-Housing,Southwest,28935113,9/18/2013,8.54,240828,288,1998
a0I2A00000XQGLyUAP,Existing,2016 Tax @ $4.28/sf,a0I2A00000XQGLyUAP,City-1214,,County-0431,N,FALSE,Market-0106,,1,,100,355.52,,Retail,Southwest,3900000,5/9/2014,1.265,10970,,2013
a0I2A00000XQGLzUAP,,,a0I2A00000XQGLzUAP,City-2147,Class A,County-0655,N,TRUE,Market-0166,,2,,,123.01,100989.75,Multi-Housing,Mid-Atlantic,29892967,2/5/2014,16.15,243016,296,1987
a0I2A00000XQGM1UAP,Existing,"2015 Tax @ $5.42/sf, 2017 Est Tax @ $5.30/sf; 2015 Ops @ $8.36/sf, 2017 Est Ops @ $7.92/sf",a0I2A00000XQGM1UAP,City-0376,Class A,County-0160,N,FALSE,Market-0047,1,35,,81,162.17,,Office,Midwest,63750000,12/20/2013,0.316,393094,,1981
a0I2A00000XQGM2UAP,Existing,"2016 Tax @ $7.98/sf, 2015 Est Tax @ $7.25/sf; 2016 Ops @ $7.33/sf, 2011 Est Ops @ $7.37/sf",a0I2A00000XQGM2UAP,City-2223,Class A,County-0636,N,FALSE,Market-0016,1,5,509,93,313.21,,Office,Southwest,43225000,2/19/2014,9.7,138008,,2008
a0I2A00000XQGM3UAP,Existing,2016 Tax @ $1405.04/Unit; 2015 Ops @ $4033.56/Unit,a0I2A00000XQGM3UAP,City-1686,Class A,County-0657,N,TRUE,Market-0188,18,2,724,94,150.69,173295.23,Multi-Housing,Mid-Atlantic,60999920,1/7/2016,24.95,404800,352,1996
a0I2A00000XQGM4UAP,Existing,2009 Tax @ $2.81/sf,a0I2A00000XQGM4UAP,City-0488,Class B,County-0172,N,FALSE,Market-0059,5,1,92,93,50.28,,Industrial,Southwest,13450000,8/5/2005,14.576,267488,,1983
a0I2A00000XQGM5UAP,Existing,"2016 Tax @ $4.13/sf, 2015 Est Tax @ $3.72/sf; 2014 Ops @ $10.04/sf, 2015 Est Ops @ $6.16/sf",a0I2A00000XQGM5UAP,City-0090,Class A,County-0689,N,TRUE,Market-0016,1,2,250,100,1435.29,,Office,Southwest,116000000,11/10/2015,7.428,80820,,2000
a0I2A00000XQGM8UAP,Existing,2016 Tax @ $3568.14/Unit,a0I2A00000XQGM8UAP,City-0936,Class A,County-0284,N,TRUE,Market-0106,22,3,450,92,157.2,146500,Multi-Housing,Southwest,62702000,9/13/2017,15.7,398868,428,2000
a0I2A00000XQGM9UAP,Existing,2016 Tax @ $2233.09/Unit; 2006 Ops @ $3652.46/Unit,a0I2A00000XQGM9UAP,City-0525,Class A,County-0185,Y,TRUE,Market-0059,41,2,780,95,145.86,125000,Multi-Housing,Southwest,40000000,1/30/2015,27.58,411344,480,2004
a0I2A00000XQGMAUA5,Existing,2014 Tax @ $1.63/sf,a0I2A00000XQGMAUA5,City-1825,Class B,County-0567,Y,FALSE,Market-0206,5,1,612,83,436.89,,Office,West,67500000,9/14/2015,3.134,206000,,1972
a0I2A00000XQGMDUA5,Existing,"2010 Tax @ $6.06/sf, 2015 Est Tax @ $3.40/sf; 2015 Est Ops @ $4.63/sf",a0I2A00000XQGMDUA5,City-0090,Class A,County-0689,N,TRUE,Market-0016,1,2,250,100,4037.17,,Office,Southwest,116000000,11/10/2015,70,28733,,1999
a0I2A00000XQGMEUA5,Existing,"2009 Tax @ $13.99/sf, 2015 Est Tax @ $3.40/sf; 2015 Est Ops @ $7.05/sf",a0I2A00000XQGMEUA5,City-0090,Class A,County-0689,N,TRUE,Market-0016,1,1,150,100,1838.03,,Office,Southwest,116000000,11/10/2015,3.802,63111,,1999
a0I2A00000XQGMFUA5,Existing,2016 Tax @ $757.45/Unit,a0I2A00000XQGMFUA5,City-1532,Class B,County-0471,N,TRUE,Market-0171,11,3,385,93,54.59,57272.73,Multi-Housing,Southeast,12600000,1/12/2015,9.61999535,230800,220,1995
a0I2A00000XQGMIUA5,Existing,2013 Combined Tax/Ops @ $8.31/sf; 2015 Est Ops @ $7.35/sf,a0I2A00000XQGMIUA5,City-0090,Class A,County-0689,N,TRUE,Market-0016,,2,400,100,1148,,Office,Southwest,116000000,11/10/2015,8.7911,101045,,2007
a0I2A00000XQGMJUA5,Existing,2017 Combined Tax/Ops @ $11.68/sf; 2015 Est Ops @ $6.78/sf,a0I2A00000XQGMJUA5,City-0090,Class A,County-0689,N,TRUE,Market-0016,1,2,400,96,222.28,,Office,Southwest,22500000,8/2/2016,8.81,101223,,2001
a0I2A00000XQGMKUA5,Existing,"2010 Tax @ $8.28/sf, 2015 Est Tax @ $3.39/sf; 2015 Est Ops @ $5.21/sf",a0I2A00000XQGMKUA5,City-0090,Class B,County-0689,N,TRUE,Market-0016,1,1,200,100,2696.29,,Office,Southwest,116000000,11/10/2015,5.3208,43022,,1999
a0I2A00000XQGMLUA5,Existing,"2010 Tax @ $8.36/sf, 2015 Est Tax @ $3.40/sf; 2015 Est Ops @ $4.90/sf",a0I2A00000XQGMLUA5,City-0090,Class A,County-0689,N,TRUE,Market-0016,1,1,200,100,2696.29,,Office,Southwest,116000000,11/10/2015,5.2672,43022,,1999
a0I2A00000XQGMNUA5,,,a0I2A00000XQGMNUA5,City-0052,,County-0669,N,FALSE,Market-0067,1,1,,,204.37,110995.44,Multi-Housing,Midwest,57162650.4,5/17/2016,0.92,279699,515,2016
a0I2A00000XQGMOUA5,Existing,2016 Tax @ $6.83/sf,a0I2A00000XQGMOUA5,City-0511,,County-0077,N,FALSE,Market-0151,,1,48,95,249.55,,Retail,Southeast,92750000,5/5/2016,0.9916,371672,,1988
a0I2A00000XQGMPUA5,,,a0I2A00000XQGMPUA5,City-1701,,County-0587,N,FALSE,Market-0191,,,,85,,,Retail,West,,,,68908,,2000
a0I2A00000XQGMQUA5,Existing,"2015 Tax @ $0.91/sf, 2010 Est Tax @ $0.85/sf; 2006 Ops @ $6.67/sf, 2010 Est Ops @ $11.64/sf",a0I2A00000XQGMQUA5,City-2134,,County-0651,N,FALSE,Market-0140,,1,800,100,,,Retail,West,,,27.5,271926,,2002
a0I2A00000XQGMRUA5,,,a0I2A00000XQGMRUA5,City-1608,Class B,County-0221,N,FALSE,Market-0054,4,3,,,63.1,67708.33,Multi-Housing,Midwest,6500000,3/21/2016,7.18,103008,96,2005
a0I2A00000XQGMSUA5,Existing,2016 Tax @ $1010.80/Unit; 2014 Ops @ $3588.57/Unit,a0I2A00000XQGMSUA5,City-0096,Class A,County-0400,N,FALSE,Market-0178,42,3,840,92,129.53,122377.62,Multi-Housing,Southwest,87500000,12/21/2016,7.7,675534,715,2009
a0I2A00000XQGMTUA5,,,a0I2A00000XQGMTUA5,City-1808,Class A,County-0053,N,FALSE,Market-0204,,2,,,,,Multi-Housing,Southwest,,,18,251064,296,2005
a0I2A00000XQGMUUA5,,,a0I2A00000XQGMUUA5,City-0132,Class B,County-0193,N,TRUE,Market-0144,6,,,100,89.16,,Industrial,Midwest,35175000,3/13/2014,,394500,,1980
a0I2A00000XQGMVUA5,,,a0I2A00000XQGMVUA5,City-0430,,County-0035,N,TRUE,Market-0109,,,,,,,Self-Storage,Midwest,,,,24400,174,
a0I2A00000XQGMWUA5,,,a0I2A00000XQGMWUA5,City-0430,,County-0035,N,TRUE,Market-0109,,,,,,,Self-Storage,Midwest,,,,24304,193,
a0I2A00000XQGMXUA5,,,a0I2A00000XQGMXUA5,City-1795,Class A,County-0552,N,TRUE,Market-0225,1,4,,97,1332.46,,Office,Midwest,137609917,9/26/2014,,103275,,2001
a0I2A00000XQGMcUAP,,,a0I2A00000XQGMcUAP,City-0936,,County-0284,N,FALSE,Market-0106,1,1,,100,161.94,,Retail,Southwest,3200000,2/9/2015,0.458,19761,,1979
a0I2A00000XQGMdUAP,Existing,,a0I2A00000XQGMdUAP,City-1767,Class C,County-0499,N,TRUE,Market-0199,,2,52,49,967.26,,Medical Office Building,West,26000000,12/23/2013,0,26880,0,1987
a0I2A00000XQGMeUAP,,,a0I2A00000XQGMeUAP,City-1795,Class B,County-0553,N,FALSE,Market-0225,1,23,,,168.65,175396.83,Multi-Housing,Midwest,33150000,2/10/2016,3.348209346,196560,189,1962
a0I2A00000XQGMfUAP,Existing,,a0I2A00000XQGMfUAP,City-0740,,County-0168,N,TRUE,Market-0182,1,3,,,443.17,219909.4,Hotel-Lodging,Northeast,16933024,5/11/2016,2.649999984,38209,77,1999
a0I2A00000XQGMgUAP,Existing,2016 Tax @ $2580.80/Unit,a0I2A00000XQGMgUAP,City-0488,Class A,County-0154,N,TRUE,Market-0059,19,3,,92,492.13,444747.34,Multi-Housing,Southwest,167225000,5/27/2015,15.04,339796,376,1994
a0I2A00000XQGMhUAP,Existing,"2016 Tax @ $377.80/Unit, 2012 Est Tax @ $363.36/Unit; 2012 Est Ops @ $891.08/Unit",a0I2A00000XQGMhUAP,City-0936,Class C,County-0284,N,FALSE,Market-0106,11,2,,95,81.37,55555.56,Multi-Housing,Southwest,10000000,12/12/2013,5.02,122896,180,1977
a0I2A00000XQGMiUAP,,,a0I2A00000XQGMiUAP,City-2124,,County-0385,N,FALSE,Market-0140,1,1,,,371.5,,,West,9728000,12/22/2016,0.776675845,26186,,1998
a0I2A00000XQGMjUAP,,,a0I2A00000XQGMjUAP,City-0881,,County-0385,N,FALSE,Market-0140,1,1,,100,,,Retail,West,,,1.55,21507,,1991
a0I2A00000XQGMmUAP,,,a0I2A00000XQGMmUAP,City-1655,,County-0656,N,TRUE,Market-0062,4,1,,93,229.74,,Retail,Southeast,32273874,7/1/2014,9.70899902,140480,,2013
a0I2A00000XQGMnUAP,Existing,2016 Tax @ $4.74/sf,a0I2A00000XQGMnUAP,City-0745,,County-0154,N,FALSE,Market-0059,3,1,650,98,,,Retail,Southwest,,,8.512,58594,,1996
a0I2A00000XQGMoUAP,Existing,2016 Tax @ $1227.83/Unit,a0I2A00000XQGMoUAP,City-1663,Class B,County-0436,N,FALSE,Market-0183,6,2,,100,135.6,96078.43,Multi-Housing,West,4900000,12/28/2012,1.33,36135,51,1980
a0I2A00000XQGMpUAP,Existing,2016 Tax @ $791.26/Unit,a0I2A00000XQGMpUAP,City-1038,Class B,County-0473,N,TRUE,Market-0171,11,3,520,100,213.7,216842.8,Multi-Housing,Southeast,65052839,2/12/2016,16.94,304408,300,2002
a0I2A00000XQGMqUAP,,,a0I2A00000XQGMqUAP,City-0503,Class B,County-0656,N,TRUE,Market-0062,17,3,,92,28.64,28897.03,Multi-Housing,Southeast,8669109,1/20/2016,27.59,302652,300,1995
a0I2A00000XQGMrUAP,Existing,"2016 Tax @ $492.28/Unit, 2015 Est Tax @ $492.90/Unit; 2007 Ops @ $2681.03/Unit",a0I2A00000XQGMrUAP,City-1732,Class B,County-0301,N,TRUE,Market-0232,12,3,750,100,63.41,63069.52,Multi-Housing,Southeast,15893520,4/14/2016,14.76,250660,252,2000
a0I2A00000XQGMsUAP,Existing,,a0I2A00000XQGMsUAP,City-1198,Class B,County-0326,N,FALSE,Market-0141,1,7,49,100,68.11,28406.25,Multi-Housing,Southeast,3636000,5/21/2008,1.24,53385,128,1950
a0I2A00000XQGMtUAP,,,a0I2A00000XQGMtUAP,City-0662,,County-0595,N,TRUE,Market-0206,,,,,,,Retail,West,,,,49579,,
a0I2A00000XQGMuUAP,,,a0I2A00000XQGMuUAP,City-0396,,County-0139,N,TRUE,Market-0141,3,,,70,,,Self-Storage,Midwest,,,2.15,,338,1996
a0I2A00000XQGMvUAP,Existing,2007 Combined Tax/Ops @ $19.61/sf; 1999 Est Ops @ $15.55/sf,a0I2A00000XQGMvUAP,City-0488,,County-0172,N,FALSE,Market-0059,,1,587,100,334.06,,Retail,Southwest,37200000,2/10/2014,7,111357,,1999
a0I2A00000XQGMwUAP,Existing,"2016 Tax @ $869.01/Unit, 2015 Est Tax @ $369.83/Unit",a0I2A00000XQGMwUAP,City-1532,Class B,County-0471,N,TRUE,Market-0171,22,3,1125,100,312.51,318222.22,Multi-Housing,Southeast,143200000,10/20/2015,33.47,458230,450,1996
a0I2A00000XQGMxUAP,Existing,2016 Tax @ $677.78/Unit,a0I2A00000XQGMxUAP,City-0063,Class B,County-0471,N,TRUE,Market-0171,20,3,879,100,67.34,70381.13,Multi-Housing,Southeast,30123122,2/5/2016,22.03,447352,428,1999
a0I2A00000XQGMyUAP,Existing,"2016 Tax @ $796.86/Unit, 2015 Est Tax @ $799.40/Unit",a0I2A00000XQGMyUAP,City-1532,Class B,County-0471,N,TRUE,Market-0171,11,3,535,100,552.48,606779.66,Multi-Housing,Southeast,143200000,10/20/2015,16.59,259194,236,2000
a0I2A00000XQGN0UAP,Existing,2012 Est Tax @ $5.38/sf; 2012 Est Ops @ $5.38/sf,a0I2A00000XQGN0UAP,City-2175,Class A,County-0192,N,FALSE,Market-0245,1,1,37,0,352.31,,Office,Mid-Atlantic,22900000,4/10/2012,0.2,65000,,2010
a0I2A00000XQGN1UAP,,,a0I2A00000XQGN1UAP,City-0936,,County-0284,N,FALSE,Market-0106,1,2,,,,,Other,Southwest,,,,,71,1991
a0I2A00000XQGN2UAP,,,a0I2A00000XQGN2UAP,City-2014,,County-0574,N,TRUE,Market-0206,,,,100,,,Office,West,,,,51680,,
a0I2A00000XQGN3UAP,Existing,2016 Tax @ $2.25/sf,a0I2A00000XQGN3UAP,City-1290,,County-0419,N,TRUE,Market-0151,,1,,100,70,,Retail,Southeast,350000,9/24/2012,0.15,5000,,1960
a0I2A00000XQGN4UAP,Existing,2016 Tax @ $1.85/sf,a0I2A00000XQGN4UAP,City-0082,Class C,County-0027,N,TRUE,Market-0177,,1,,100,89.53,,Industrial,Northeast,5600000,10/29/2014,2.92,62550,,2001
a0I2A00000XQGN6UAP,Existing,2016 Tax @ $2057.84/Unit; 2011 Ops @ $4371.88/Unit,a0I2A00000XQGN6UAP,City-1023,Class B,County-0343,N,TRUE,Market-0214,7,3,140,95,163.55,151315.79,Multi-Housing,West,11500000,7/16/2015,3.4,70315,76,2002
